gene	query	kegg_org_hit	gene_hit	percent_id	e_vlaue
947	ASF492	sgp	phage_major_capsid_protein|hk97_family	64.6	3.2e-146
948	ASF492	dru	hypothetical_protein	48.1	3.3e-13
949	ASF492	eha	phage_protein	48.9	2.0e-14
950	ASF492	rum	phage_head-tail_adaptor|putative	67.6	1.4e-38
951	ASF492	rum	bacteriophage_protein_of_unknown_function_(duf646).	73.0	4.5e-46
952	ASF492	bprm	hypothetical_protein	72.8	3.4e-39
953	ASF492	csh	phage_major_tail_protein|phi13_family	61.5	2.7e-58
954	ASF492	rum	hypothetical_protein	79.7	1.4e-52
955	ASF492	rum	phage_tail_tape_measure_protein|tp901_family	63.3	4.7e-128
956	ASF492	rum	phage_tail_tape_measure_protein|tp901_family	48.4	3.5e-83
957	ASF492	rum	phage_tail_tape_measure_protein|tp901_family	64.5	1.4e-71
958	ASF492	bprm	hypothetical_protein	70.6	7.1e-41
959	ASF492	cls	hypothetical_protein	67.5	2.4e-88
960	ASF492	rum	hypothetical_protein	61.4	2.8e-229
961	ASF492	rum	hypothetical_protein	64.9	1.9e-32
962	ASF492	coo	plasmid_stabilisation_system_protein.	45.5	3.5e-18
963	ASF492	efau	hnh_endonuclease_domain_protein_(ec:3.1.25.-)	89.4	9.6e-113
964	ASF492	bprm	transcriptional_regulator	54.0	8.0e-58
965	ASF492	rch	transcriptional_regulator	56.5	7.8e-59
966	ASF492	rch	abc-type_multidrug_transport_system|atpase_and_permease_components	69.1	3.2e-232
967	ASF492	rch	abc-type_multidrug_transport_system|atpase_and_permease_components	61.2	1.9e-37
968	ASF492	rch	abc-type_multidrug_transport_system|atpase_and_permease_components	75.8	8.3e-117
969	ASF492	csh	arac_family_transcriptional_regulator	45.1	1.3e-27
970	ASF492	era	hypothetical_protein	75.2	1.9e-44
971	ASF492	ert	hypothetical_protein	53.7	1.3e-53
972	ASF492	cah	signal_transduction_histidine_kinase_regulating_citrate/malate_metabolism	28.7	1.3e-46
973	ASF492	rim	putative_efflux_protein|mate_family	63.8	5.8e-119
974	ASF492	rob	transcriptional_regulator|arac_family	74.4	2.7e-29
975	ASF492	pmk	multi-sensor_hybrid_histidine_kinase	29.4	2.9e-12
976	ASF492	rob	abc-type_transport_system|involved_in_lipoprotein_release	40.3	3.8e-38
977	ASF492	rob	his_kinase_a_(phosphoacceptor)_domain./histidine_kinase-|dna_gyrase_b-	98.0	3.7e-183
978	ASF492	fpa	dna-directed_rna_polymerase_specialized_sigma_subunit|sigma24_homolog	84.9	2.2e-65
979	ASF492	cbf	hypothetical_protein	42.9	1.2e-12
980	ASF492	cby	hypothetical_protein	52.0	7.9e-65
981	ASF492	cby	bacitracin_transport_atp-binding_protein_bcra	62.6	1.0e-78
982	ASF492	cbf	tetr_family_transcriptional_regulator	46.6	1.2e-42
983	ASF492	pph	transposase_is200-family_protein	64.7	4.7e-53
984	ASF492	cth	recombinase	40.7	5.2e-10
985	ASF492	ova	putative_site-specific_recombinase	31.9	1.4e-06
986	ASF492	rob	hypothetical_protein	55.2	4.8e-12
987	ASF492	coo	nucleotidyltransferase_domain.	52.6	1.3e-50
988	ASF492	coo	nucleotidyltransferase_domain.	77.9	3.3e-155
989	ASF492	rix	relaxase/mobilisation_nuclease_domain.	72.5	2.1e-52
990	ASF492	rho	hypothetical_protein	40.6	1.3e-16
991	ASF492	rix	relaxase/mobilisation_nuclease_domain.	89.4	1.1e-60
992	ASF492	rim	bacterial_mobilisation_protein_(mobc).	86.7	3.6e-50
993	ASF492	cdc	two-component_response_regulator	80.0	1.1e-65
994	ASF492	cdf	two-component_sensor_histidine_kinase	69.4	5.0e-123
995	ASF492	rum	abc-type_multidrug_transport_system|atpase_component	87.3	1.8e-149
996	ASF492	ckl	transporter_protein	41.1	2.6e-56
997	ASF492	dgi	hypothetical_protein	56.1	3.5e-35
998	ASF492	rob	hypothetical_protein	33.3	1.0e-14
999	ASF492	ckl	hypothetical_protein	65.5	6.9e-25
1000	ASF492	cdl	hypothetical_protein	62.7	8.6e-47
1001	ASF492	rix	hypothetical_protein	96.6	6.8e-152
1002	ASF492	rob	hypothetical_protein	93.8	1.3e-85
1003	ASF492	rix	hypothetical_protein	96.3	1.0e-52
1004	ASF492	eha	hypothetical_protein	30.3	4.4e-15
1005	ASF492	rto	predicted_transcription_factor|homolog_of_eukaryotic_mbf1	78.8	2.4e-40
1006	ASF492	rix	helix-turn-helix.	83.4	2.5e-85
1007	ASF492	rix	arac-type_dna-binding_domain-containing_proteins	98.2	1.6e-58
1008	ASF492	rho	glycoside_hydrolase_family_protein	99.5	2.6e-222
1009	ASF492	rix	sugar_(glycoside-pentoside-hexuronide)_transporter	98.7	8.0e-266
1010	ASF492	rum	transcriptional_regulator|arac_family	98.5	6.2e-146
1011	ASF492	rum	predicted_sugar_phosphatases_of_the_had_superfamily	100.0	1.8e-140
1012	ASF492	cct	hypothetical_protein	98.4	4.9e-102
1013	ASF492	ert	predicted_transcriptional_regulator	98.4	1.4e-133
1014	ASF492	ere	dna-directed_dna_polymerase	98.6	6.6e-78
1015	ASF492	ert	nucleotidyltransferase/dna_polymerase_involved_in_dna_repair_(ec:2.7.7.7)	98.8	1.3e-143
1016	ASF492	ert	sos-response_transcriptional_repressors_(reca-mediated_autopeptidases)	100.0	5.2e-18
1017	ASF492	cbt	transcriptional_regulator	36.8	7.3e-05
1018	ASF492	ype	transcriptional_regulator	30.8	1.7e-04
1019	ASF492	era	pemk-like_protein.	45.2	7.3e-26
1020	ASF492	ere	integrase/recombinase|xerc/codv_family	80.0	4.7e-201
1021	ASF492	ert	transposase_and_inactivated_derivatives	63.4	8.7e-65
1022	ASF492	rob	hypothetical_protein	67.5	3.8e-88
1023	ASF492	dae	integrase_family_protein	38.2	4.2e-68
1024	ASF492	dae	integrase_family_protein	46.6	5.1e-78
1025	ASF492	dae	integrase_family_protein	53.8	6.0e-18
1026	ASF492	dae	integrase_family_protein	54.8	3.1e-70
1027	ASF492	rob	domain_of_unknown_function_(duf955).	45.1	2.2e-134
1028	ASF492	rob	domain_of_unknown_function_(duf955).	30.8	6.3e-89
1029	ASF492	rob	domain_of_unknown_function_(duf955).	43.8	1.4e-11
1030	ASF492	rob	domain_of_unknown_function_(duf955).	40.4	2.7e-34
1031	ASF492	rob	hypothetical_protein	48.8	6.4e-57
1032	ASF492	sbr	hypothetical_protein	52.5	3.9e-64
1033	ASF492	sib	hypothetical_protein	60.2	3.2e-34
1034	ASF492	rob	relaxase/mobilisation_nuclease_domain.	54.9	4.1e-176
1035	ASF492	rob	bacterial_mobilisation_protein_(mobc).	67.9	1.1e-45
1036	ASF492	bbv	hypothetical_protein	60.1	1.9e-86
1037	ASF492	bprm	transposase_and_inactivated_derivatives	86.4	6.2e-107
1038	ASF492	rto	signal_transduction_histidine_kinase	83.0	6.4e-187
1039	ASF492	cct	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	90.0	4.8e-121
1040	ASF492	ere	putative_iron-sulfur-binding_membrane_protein	77.5	5.2e-95
1041	ASF492	rto	thiol-disulfide_isomerase_and_thioredoxins	86.8	4.5e-148
1042	ASF492	esu	x-x-x-leu-x-x-gly_heptad_repeats	34.2	2.0e-25
1043	ASF492	esu	x-x-x-leu-x-x-gly_heptad_repeats	25.2	2.1e-14
1044	ASF492	esu	x-x-x-leu-x-x-gly_heptad_repeats	20.5	1.4e-05
1045	ASF492	bprm	site-specific_recombinase_xerd	73.3	4.6e-66
1046	ASF492	csr	ferredoxin	67.2	1.0e-166
1047	ASF492	ols	butyrate_kinase_(ec:2.7.2.7)	55.7	1.2e-37
1048	ASF492	clj	hypothetical_protein	54.1	3.0e-48
1049	ASF492	cdc	nitrate/nitrite_transporter	49.2	5.1e-87
1050	ASF492	sgy	two_component_transcriptional_regulator|winged_helix_family	55.0	9.2e-66
1051	ASF492	ccl	signal_transduction_histidine_kinase	37.2	9.8e-29
1052	ASF492	rho	cytidine_and_deoxycytidylate_deaminase_family_protein	77.8	4.8e-67
1053	ASF492	bsl	hypothetical_protein	82.1	9.5e-47
1054	ASF492	eel	abc_transporter_atp-binding_protein	45.2	5.5e-63
1055	ASF492	fpa	phage/plasmid-related_protein_tigr03299	64.2	1.5e-57
1056	ASF492	cls	hypothetical_protein	36.7	3.8e-43
1057	ASF492	rim	hypothetical_protein	35.4	9.3e-38
1058	ASF492	csh	xre_family_transcriptional_regulator	53.6	4.9e-15
1059	ASF492	rim	fibronectin_type_iii_domain.	32.7	2.6e-10
1060	ASF492	rim	hypothetical_protein	48.0	2.2e-33
1061	ASF492	rum	23s_rrna_m(5)u-1939_methyltransferase_(ec:2.1.1.-)	58.8	1.3e-159
1062	ASF492	dae	hypothetical_protein	66.4	3.7e-46
1063	ASF492	dae	hypothetical_protein	75.8	6.4e-64
1064	ASF492	str	hypothetical_protein	49.7	2.5e-39
1065	ASF492	rho	hypothetical_protein	94.2	2.1e-112
1066	ASF492	rho	hypothetical_protein	90.5	1.8e-224
1067	ASF492	rho	hypothetical_protein	88.5	1.8e-210
1068	ASF492	rho	hypothetical_protein	87.7	6.6e-65
1069	ASF492	coo	hypothetical_protein	33.8	3.4e-21
1070	ASF492	clo	hypothetical_protein	48.8	8.0e-18
1071	ASF492	rho	beta-lactamase	90.5	0.0e+00
1072	ASF492	rho	penicillinase_repressor	98.4	2.9e-64
1073	ASF492	cth	p27_family_phage_terminase_small_subunit	83.9	2.8e-34
1074	ASF492	ccb	terminase	78.8	1.2e-246
1075	ASF492	llt	hypothetical_protein	36.0	6.2e-11
1076	ASF492	rix	sam-dependent_methyltransferases_related_to_trna_(uracil-5-)-methyltransferase	46.7	5.5e-11
1077	ASF492	amt	hypothetical_protein	40.7	2.0e-15
1078	ASF492	cpas	ig-like_domain-containing_surface_protein	26.8	9.5e-04
1079	ASF492	amt	hypothetical_protein	41.6	8.5e-86
1080	ASF492	bprs	hypothetical_protein	70.5	6.7e-61
1081	ASF492	bip	multi_antimicrobial_extrusion_protein_mate	50.3	3.5e-87
1082	ASF492	brm	multi_antimicrobial_extrusion_protein_mate	52.6	1.1e-27
1083	ASF492	bmh	gnat_family_acetyltransferase	26.5	1.4e-09
1084	ASF492	axl	6-phospho-beta-glucosidase_(ec:3.2.1.86)	69.2	6.3e-55
1085	ASF492	cdf	abc_transporter_multidrug-family_permease	34.1	3.5e-72
1086	ASF492	cdf	abc_transporter_multidrug-family_atp-binding_protein_(ec:3.6.3.-)	59.4	1.7e-88
1087	ASF492	cdc	two-component_sensor_histidine_kinase	32.1	1.1e-24
1088	ASF492	tep	integral_membrane_sensor_signal_transduction_histidine_kinase	34.5	1.6e-21
1089	ASF492	rob	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	57.1	6.7e-69
1090	ASF492	cls	hypothetical_protein	65.5	8.7e-68
1091	ASF492	cls	hypothetical_protein	59.2	5.2e-65
1092	ASF492	csh	hypothetical_protein	79.0	6.3e-119
1093	ASF492	cls	hypothetical_protein	59.1	1.1e-245
1094	ASF492	dmi	eco57i_restriction_endonuclease	66.1	4.9e-63
1095	ASF492	dgi	n-6_dna_methylase/eco57i_restriction_endonuclease	48.3	5.1e-289
1096	ASF492	mic	hypothetical_protein	39.8	5.4e-66
1097	ASF492	acy	hypothetical_protein	37.9	2.8e-37
1098	ASF492	csh	pglz_domain-containing_protein	61.3	1.6e-151
1099	ASF492	fpr	protein-tyrosine-phosphatase_(ec:3.1.3.48)	62.2	3.5e-48
1100	ASF492	cso	site-specific_recombinase_xerd	53.3	1.9e-114
1101	ASF492	scon	hypothetical_protein	71.3	1.9e-116
1102	ASF492	rix	phage_replisome_organizer|putative	61.9	6.4e-38
1103	ASF492	fnc	hypothetical_protein	63.2	1.0e-30
1104	ASF492	rho	transcriptional_regulator	56.0	2.2e-25
1105	ASF492	rho	mobilization_protein	78.8	3.4e-45
1106	ASF492	cdf	abc_transporter_multidrug-family_permease	51.1	7.9e-98
1107	ASF492	cdc	abc_transporter_permease	58.9	1.7e-54
1108	ASF492	cdf	abc_transporter_multidrug-family_permease	46.3	9.8e-26
1109	ASF492	cdc	abc_transporter_atp-binding_protein	70.1	3.1e-111
1110	ASF492	cdc	two-component_sensor_histidine_kinase	57.5	1.1e-110
1111	ASF492	cdf	two-component_response_regulator	72.4	1.9e-87
1112	ASF492	rsd	hypothetical_protein	41.3	2.8e-18
1113	ASF492	rsd	hypothetical_protein	29.6	1.6e-51
1114	ASF492	rob	site-specific_recombinase_xerd	71.5	2.0e-175
1115	ASF492	afe	tn7-like_transposition_protein_d	28.3	6.9e-17
1116	ASF492	twi	tn7-like_transposition_protein_d	29.4	2.8e-27
1117	ASF492	ccl	tnib_protein	47.7	3.7e-128
1118	ASF492	ccl	mu_transposase/integrase	44.5	8.3e-100
1119	ASF492	ccl	tnsa_endonuclease	42.4	3.9e-55
1120	ASF492	bsa	hypothetical_protein	29.5	1.2e-25
1121	ASF492	mic	hypothetical_protein	26.0	8.8e-45
1122	ASF492	ccl	tnib_protein	49.7	1.4e-138
1123	ASF492	ova	putative_rna-directed_dna_polymerase_(ec:2.7.7.49)	65.7	9.4e-45
1124	ASF492	sanc	group_ii_intron_reverse_transcriptase_maturase	46.8	1.8e-60
1125	ASF492	cdf	conjugative_transfer_protein_tn1549-like|ctn4-orf4	99.0	2.7e-49
1126	ASF492	rbr	type_iv_secretory_pathway|vird4_components	98.5	1.3e-70
1127	ASF492	sanc	hypothetical_protein	72.8	1.9e-113
1128	ASF492	cls	hypothetical_protein	78.9	1.3e-08
1129	ASF492	cbi	sensor_histidine_kinase_(ec:2.7.3.-)	32.9	3.6e-72
1130	ASF492	cso	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	53.2	2.0e-65
1131	ASF492	dal	transposase_is4_family_protein	35.1	1.1e-29
1132	ASF492	bprs	transposase_dde_domain.	64.1	1.6e-126
1133	ASF492	rho	integrase_family_protein	88.1	3.9e-208
1134	ASF492	rho	integrase_family_protein	89.0	1.0e-208
1135	ASF492	rob	na+/melibiose_symporter_and_related_transporters	77.9	2.0e-74
1136	ASF492	rob	lysophospholipase	42.4	2.4e-67
1137	ASF492	rix	type_ii_secretory_pathway|component_exea_(predicted_atpase)	66.1	2.3e-87
1138	ASF492	sri	putative_abrb_family_transcriptional_regulator	63.1	1.0e-23
1139	ASF492	dca	hypothetical_protein	59.1	1.1e-42
1140	ASF492	bprm	site-specific_recombinase_xerd	44.6	2.4e-72
1141	ASF492	ccl	camp-binding_protein	50.0	5.0e-56
1142	ASF492	eha	4fe-4s_ferredoxin	74.8	3.4e-100
1143	ASF492	cct	hydroxylamine_reductase_(ec:1.7.-.-)	76.2	1.1e-247
1144	ASF492	cac	response_regulator	30.1	1.3e-06
1145	ASF492	efa	resolvase_family_site-specific_recombinase	92.2	4.0e-293
1146	ASF492	efa	parb-like_nuclease_domain-containing_protein	63.4	3.4e-128
1147	ASF492	efa	parb-like_nuclease_domain-containing_protein	65.1	1.4e-89
1148	ASF492	elm	hypothetical_protein	41.2	3.1e-89
1149	ASF492	fpr	predicted_transcription_factor|homolog_of_eukaryotic_mbf1	64.4	4.3e-30
1150	ASF492	esu	predicted_hydrolases_or_acyltransferases_(alpha/beta_hydrolase_superfamily)	29.5	1.9e-24
1151	ASF492	clj	hydrolase	59.9	3.4e-91
1152	ASF492	ral	transcriptional_regulator|tetr_family	36.7	3.1e-36
1153	ASF492	ssb	hypothetical_protein	77.9	3.6e-48
1154	ASF492	csh	arac_family_transcriptional_regulator	70.3	2.5e-62
1155	ASF492	cbo	hypothetical_protein	83.8	3.3e-119
1156	ASF492	spj	tnpv	81.5	6.4e-53
1157	ASF492	dsl	hypothetical_protein	41.5	1.8e-11
1158	ASF492	nca	radical_sam_domain-containing_protein	26.1	2.2e-20
1159	ASF492	cly	pentapeptide_repeat-containing_protein	30.1	7.1e-08
1160	ASF492	ere	hypothetical_protein	47.3	1.2e-17
1161	ASF492	rob	dna-directed_rna_polymerase_specialized_sigma_subunit	44.3	1.1e-35
1162	ASF492	csh	n-acetyltransferase_gcn5	84.7	8.4e-80
1163	ASF492	cth	gcn5-like_n-acetyltransferase	39.5	5.7e-22
1164	ASF492	sgy	n-acetyltransferase_gcn5	41.2	6.3e-26
1165	ASF492	cct	hypothetical_protein	83.7	2.4e-45
1166	ASF492	ere	hypothetical_protein	78.6	3.1e-164
1167	ASF492	fpa	hypothetical_protein	68.2	1.4e-143
1168	ASF492	rim	hypothetical_protein	66.4	1.6e-31
1169	ASF492	ddl	site-specific_recombinase_xerd	67.1	4.1e-57
1170	ASF492	cct	hypothetical_protein	77.6	5.4e-158
1171	ASF492	csr	restriction_endonuclease	29.6	2.5e-57
1172	ASF492	csr	restriction_endonuclease	53.9	1.7e-55
1173	ASF492	era	site-specific_recombinase_xerd	84.6	1.1e-146
1174	ASF492	faa	methyltransferase	47.4	9.0e-43
1175	ASF492	faa	hypothetical_protein	37.9	1.1e-62
1176	ASF492	ere	phage_integrase_family_protein	86.5	4.1e-79
1177	ASF492	rim	predicted_transcriptional_regulators	63.0	1.5e-21
1178	ASF492	cbb	hypothetical_protein	35.7	6.8e-50
1179	ASF492	csr	hypothetical_protein	51.9	5.1e-53
1180	ASF492	cso	dna_ligase|nad-dependent_(ec:6.5.1.2)	49.2	8.5e-24
1181	ASF492	cce	hypothetical_protein	40.2	2.0e-52
1182	ASF492	esr	hypothetical_protein	56.0	4.1e-23
1183	ASF492	fpa	hypothetical_protein	66.3	4.3e-67
1184	ASF492	fpa	hypothetical_protein	86.1	1.8e-09
1185	ASF492	ere	hypothetical_protein	72.4	6.7e-168
1186	ASF492	rha	integrase/recombinase	37.7	3.5e-71
1187	ASF492	dsy	hypothetical_protein	51.8	1.2e-16
1188	ASF492	rum	hypothetical_protein	88.6	1.3e-99
1189	ASF492	rix	mu_transposase|c-terminal./integrase_core_domain.	54.9	2.2e-91
1190	ASF492	opr	winged_helix_family_two_component_transcriptional_regulator	43.4	5.2e-16
1191	ASF492	fpa	dna-directed_rna_polymerase_specialized_sigma_subunit|sigma24_homolog	95.9	4.0e-78
1192	ASF492	cle	abc_transporter	73.2	4.8e-45
1193	ASF492	cle	sulfate-transporting_atpase_(ec:3.6.3.25)	69.4	6.8e-100
1194	ASF492	cle	merr_family_transcriptional_regulator	66.0	1.5e-96
1195	ASF492	rho	trag_family_protein	86.8	4.1e-106
1196	ASF492	sbr	hypothetical_protein	47.6	1.8e-64
1197	ASF492	cle	hypothetical_protein	38.1	1.3e-10
1198	ASF492	coo	plasmid_mobilization_system_relaxase	41.5	6.9e-66
1199	ASF492	sif	caax_amino_terminal_protease	66.7	1.2e-19
1200	ASF492	cls	hypothetical_protein	50.0	1.0e-10
1201	ASF492	sda	putative_site-specific_recombinase	62.8	2.9e-83
1202	ASF492	efa	hypothetical_protein	93.3	4.4e-98
1203	ASF492	rho	is66_orf2_family_protein	70.6	3.3e-46
1204	ASF492	rho	hypothetical_protein	41.7	2.1e-19
1205	ASF492	ert	hypothetical_protein	25.9	2.7e-11
1206	ASF492	csc	pilt_protein_domain-containing_protein	47.1	1.2e-35
1207	ASF492	fsu	histidine_kinase	44.6	1.4e-91
1208	ASF492	rch	pas_domain_s-box_(ec:2.7.13.3)	61.1	4.4e-68
1209	ASF492	ova	psta|phosphate_abc_transporter_permease_protein	58.7	3.0e-90
1210	ASF492	ova	pstc|phosphate_abc_transporter_permease_protein	63.9	8.2e-97
1211	ASF492	ova	psts|phosphate_abc_transporter_phosphate-binding_protein	52.7	5.0e-77
1212	ASF492	bco	hypothetical_protein	26.0	1.9e-08
1213	ASF492	rto	conserved_hypothetical_protein_(putative_transposase_or_invertase)	58.1	2.3e-76
1214	ASF492	dgi	site-specific_recombinase_xerd	40.1	3.0e-65
1215	ASF492	dgi	site-specific_recombinase_xerd	44.0	2.4e-58
1216	ASF492	dgi	site-specific_recombinase_xerd	33.5	5.9e-43
1217	ASF492	tsh	integrase_family_protein	51.2	9.7e-122
1218	ASF492	ral	hypothetical_protein	41.6	1.3e-23
1219	ASF492	csr	hypothetical_protein	66.7	1.4e-22
1220	ASF492	tsu	hypothetical_protein	58.0	2.1e-19
1221	ASF492	rob	helix-turn-helix.	55.9	2.5e-78
1222	ASF492	amt	hypothetical_protein	43.4	1.0e-76
1223	ASF492	cdf	metallo-hydrolase/oxidoreductase	65.7	5.6e-102
1224	ASF492	rto	dnaj_domain.	54.5	2.9e-10
1225	ASF492	rum	plasmid_stabilization_system_protein	59.1	2.6e-22
1226	ASF492	rum	cytotoxic_translational_repressor_of_toxin-antitoxin_stability_system	57.8	1.8e-17
1227	ASF492	rum	cytotoxic_translational_repressor_of_toxin-antitoxin_stability_system	57.8	1.8e-17
1228	ASF492	bpb	peptidase_c14_family_protein	55.2	1.0e-61
1229	ASF492	bpb	peptidase_c14_family_protein	43.2	2.9e-18
1230	ASF492	sgy	copy_family_transcriptional_regulator	53.2	2.9e-17
1231	ASF492	cpy	peptidase_m56_blar1	34.3	4.0e-11
1232	ASF492	dor	antirepressor_regulating_drug_resistance_protein	41.4	5.6e-33
1233	ASF492	ere	transcriptional_regulator|lytr/algr_family	56.9	5.8e-27
1234	ASF492	rho	hypothetical_protein	56.5	2.8e-38
1235	ASF492	rho	hypothetical_protein	71.9	1.9e-30
1236	ASF492	cso	phage_dna_replication_protein_(predicted_replicative_helicase_loader)	81.5	1.4e-83
1237	ASF492	rto	conserved_hypothetical_protein_(putative_transposase_or_invertase)	59.5	5.8e-68
1238	ASF492	cbb	hypothetical_protein	42.7	1.1e-38
1239	ASF492	spj	hypothetical_protein	72.9	2.0e-17
1240	ASF492	rbr	hypothetical_protein	98.8	3.5e-42
1241	ASF492	rob	site-specific_recombinase_xerd	91.2	3.1e-114
1242	ASF492	abr	dnaj-class_molecular_chaperone_with_c-terminal_zn_finger_domain	37.3	3.6e-06
1243	ASF492	clj	membrane-associated_atp-binding_domain-containing_protein	30.5	1.8e-29
1244	ASF492	tte	fe-s_oxidoreductase	36.7	4.2e-81
1245	ASF492	clb	multidrug_abc_transporter_atpase_and_permease	31.3	1.2e-79
1246	ASF492	sri	putative_sensor_protein	37.1	8.1e-07
1247	ASF492	cce	xre_family_transcriptional_regulator	29.6	7.3e-08
1248	ASF492	nat	mannosyltransferase	25.1	8.4e-12
1249	ASF492	rch	glycosyltransferase	43.4	5.7e-24
1250	ASF492	cac	glycosyltransferase	26.3	3.5e-06
1251	ASF492	hmo	hypothetical_protein	73.6	3.3e-34
1252	ASF492	lcr	hypothetical_protein	68.0	7.5e-20
1253	ASF492	bsl	hypothetical_protein	82.1	9.5e-47
1254	ASF492	rho	ecf_subfamily_rna_polymerase_sigma-24_factor	47.7	3.8e-34
1255	ASF492	rix	hypothetical_protein	44.9	2.1e-53
1256	ASF492	coo	predicted_membrane_protein_involved_in_d-alanine_export	50.3	6.8e-42
1257	ASF492	rba	penicillin_resistance_regulatory_protein	29.1	2.0e-06
1258	ASF492	rum	predicted_transcriptional_regulator	41.2	2.3e-24
1259	ASF492	sdt	abc-type_bacteriocin_transporter_family_protein	40.7	1.8e-17
1260	ASF492	dhd	abc_transporter	54.5	9.1e-55
1261	ASF492	sbu	abortive_infection_protein	70.6	3.0e-60
1262	ASF492	asf	abortive_infection_protein	35.0	2.4e-31
1263	ASF492	fus	hypothetical_protein	54.7	4.1e-53
1264	ASF492	cbk	sialic_acid_synthase_(ec:2.5.1.56)	69.0	1.8e-111
1265	ASF492	cbk	phosphoheptose_isomerase	64.1	1.9e-131
1266	ASF492	cbk	thiamine_pyrophosphate_enzyme_tpp_binding_domain_protein	75.7	1.5e-43
1267	ASF492	cbk	thiamine_pyrophosphate_enzyme_tpp_binding_domain_protein	66.2	4.1e-45
1268	ASF492	ppd	radical_sam_domain-containing_protein	26.2	1.3e-14
1269	ASF492	cce	aldo/keto_reductase	48.9	1.8e-98
1270	ASF492	dhd	radical_sam_protein	34.0	3.2e-43
1271	ASF492	ppd	had_superfamily_hydrolase-like_protein	29.8	8.3e-74
1272	ASF492	cso	glycosyltransferases_involved_in_cell_wall_biogenesis_(ec:2.4.1.83)	45.8	9.9e-69
1273	ASF492	cbk	nad_dependent_epimerase/dehydratase_family	55.6	6.8e-90
1274	ASF492	chd	glucose-1-phosphate_cytidylyltransferase_(ec:2.7.7.33)	44.9	7.4e-59
1275	ASF492	ppb	hypothetical_protein	26.8	1.7e-40
1276	ASF492	rob	glucose-1-phosphate_cytidylyltransferase_(ec:2.7.7.33)	63.3	4.0e-61
1277	ASF492	bfi	hypothetical_protein	74.5	1.3e-57
1278	ASF492	bfi	hypothetical_protein	71.3	2.7e-55
1279	ASF492	ert	hypothetical_protein	63.7	3.4e-70
1280	ASF492	rho	peptidase_s8/s53_subtilisin_kexin_sedolisin	61.3	2.5e-164
1281	ASF492	rto	conserved_hypothetical_protein_(putative_transposase_or_invertase)	55.3	6.2e-72
1282	ASF492	rum	ketopantoate_reductase_(ec:1.1.1.169)	63.9	2.4e-05
1283	ASF492	ert	putative_transposase.	82.4	2.5e-204
1284	ASF492	ssg	dna_polymerase_beta_domain_protein_region	74.0	1.2e-33
1285	ASF492	ssg	hypothetical_protein	75.7	3.0e-41
1286	ASF492	brm	nadph-dependent_fmn_reductase	58.6	9.1e-31
1287	ASF492	rho	transposase_is66	63.4	1.8e-23
1288	ASF492	ova	ompr_family_two-component_response_regulator	64.7	1.1e-61
1289	ASF492	cdf	two-component_sensor_histidine_kinase	42.0	3.6e-66
1290	ASF492	ert	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	77.3	3.5e-97
1291	ASF492	fpa	his_kinase_a_(phosphoacceptor)_domain./histidine_kinase-|dna_gyrase_b-	71.1	5.4e-134
1292	ASF492	ert	abc-type_antimicrobial_peptide_transport_system|atpase_component	89.1	6.8e-106
1293	ASF492	ckl	permease	28.4	6.4e-90
1294	ASF492	cdf	abc_transporter_permease	29.6	2.4e-88
1295	ASF492	cdf	two-component_response_regulator	44.6	4.4e-55
1296	ASF492	ova	putative_two-component_histidine_kinase	33.3	2.3e-57
1297	ASF492	ova	hypothetical_protein	30.1	5.0e-07
1298	ASF492	ere	hypothetical_protein	55.3	9.7e-26
1299	ASF492	cle	hypothetical_protein	59.4	2.8e-62
1300	ASF492	cac	acetyltransferase	49.4	1.0e-14
1301	ASF492	cdg	hypothetical_protein	59.2	1.3e-51
1302	ASF492	ral	abc_transporter-like_protein	55.3	1.1e-61
1303	ASF492	clj	abc_transporter_permease	27.0	9.8e-04
1304	ASF492	cct	signal_transduction_histidine_kinase	61.7	6.6e-107
1305	ASF492	cct	abc-type_multidrug_transport_system|atpase_component	68.7	6.4e-97
1306	ASF492	elm	permease	39.6	1.8e-10
1307	ASF492	aae	ntrc4|ntrc_family_transcriptional_regulator	31.4	2.1e-06
1308	ASF492	ere	site-specific_recombinase	58.6	6.7e-102
1309	ASF492	rim	site-specific_recombinases|dna_invertase_pin_homologs	36.5	7.9e-34
1310	ASF492	csh	recombinase	36.2	2.4e-89
1311	ASF492	csh	recombinase	37.4	1.1e-91
1312	ASF492	cdf	abc_transporter_multidrug-family_atp-binding_protein_(ec:3.6.3.-)	63.9	1.2e-108
1313	ASF492	cdf	abc_transporter_multidrug-family_permease	43.2	4.5e-64
1314	ASF492	cle	hypothetical_protein	51.3	7.9e-77
1315	ASF492	bprs	hypothetical_protein	82.4	5.5e-35
1316	ASF492	esr	dna-directed_rna_polymerase_specialized_sigma_subunit|sigma24_homolog	89.4	4.7e-62
1317	ASF492	bck	transposase_is4_family_protein	45.3	5.9e-10
1318	ASF492	ppy	transcriptional_regulator_yazb	48.2	2.8e-07
1319	ASF492	rix	hypothetical_protein	51.9	1.7e-30
